codeexterne,type_organisme,abreviation,denomination_sociale,denomination_commerciale,numeroidentification,localisation_potentielle,intitule,duree,qualifiante,certifiante,public,condition_specifique,session_codeexterne,session_datedebut,session_datefin,session_continue,sheet,in_scope
0850035150-53000,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC BRAINE-L'ALLEUD,,850035150,Braine-l'Alleud,antiquaire,4 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207294047-22449,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,informatique introduction a l informatique,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207294047-22452,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,informatique tableur excel niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207294047-30763,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,informatique edition assistee par ordinateur word niveau moyen,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207294047-30764,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,informatique edition assistee par ordinateur word niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207294047-35189,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,informatique utilisation d internet et de la messagerie electronique,50 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207294047-42203,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,initiation a l utilisation d une imprimante 3d,60 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207294047-42276,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,techniques de base de la photographie,1 Années,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0207294047-42277,Enseignement pour Adultes,,Ville de Braine-le-Comte,,207294047,Braine-le-Comte,posproduction de la photographie,1 Années,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0446105275-56187,CISP DéFI Centre d'insertion socioprofessionnelle,SOVALUE,Association de Valorisation Humaine,,446105275,Braine-le-Comte,digistart,48 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0472884896-57455,Organisme privé de formation (associatif),,6beaufort,,472884896,Braine-le-Comte,digistart,18 Jours,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
1264-0001-0001,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,bootcamp en developpement web format temps plein fad,315 Heures,NON,NON,travailleur,"- Pour le format en physique sur notre campus à Bruxelles : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en anglais : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en français : niveau de français suffisant._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux travailleurs, salariés et indépendants actifs dans le secteur de la tech, du digital (consultants, web masters, e-commerce managers, project managers, products manager, ux designer, ui designer, digital marketers, graphistes, artistes digitaux, informaticiens)_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0002,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,bootcamp en data science format temps plein fad,315 Heures,NON,NON,travailleur,"- Pour le format en physique sur notre campus à Bruxelles : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en anglais : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en français : niveau de français suffisant._x000D_
- + pré-requis en math et en programmation (validé lors de la candidature)._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux travailleurs, salariés et indépendants actifs dans le secteur de de l'intelligence artificielle (consultants, chercheurs, développeurs, informaticiens, statisticiens, économistes, data analystes, business analystes, project managers, data-driven digital marketers cadres, investment managers)_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0003,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,bootcamp en data analytics format temps plein fad,315 Heures,NON,NON,travailleur,"- Pour le format en physique sur notre campus à Bruxelles : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en anglais : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en français : niveau de français suffisant._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux travailleurs, salariés et indépendants actifs dans le secteur du business voulant se former dans l'analyse des données et la visualisation des analyses_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0004,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,bootcamp en developpement web format flex temps partiel fad,360 Heures,NON,NON,travailleur,"- Pour le format en ligne en anglais : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en français : niveau de français suffisant._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux travailleurs, salariés et indépendants actifs dans le secteur de la tech, du digital (consultants, web masters, e-commerce managers, project managers, products manager, ux designer, ui designer, digital marketers, graphistes, artistes digitaux, informaticiens)._x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0005,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,bootcamp en data science format flex temps partiel fad,360 Heures,NON,NON,travailleur,"- Pour le format en ligne en anglais : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en français : niveau de français suffisant._x000D_
- + pré-requis en math et en programmation (évalué lors de la candidature)._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux travailleurs, salariés et indépendants actifs dans le secteur de la tech, de l'intelligence artificielle (consultants, chercheurs, développeurs, informaticiens, statisticiens, économistes, data analystes, business analystes, project managers, data-driven digital marketers cadres, investment managers)._x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0006,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,bootcamp en data analytics format flex temps partiel fad,360 Heures,NON,NON,travailleur,"- Pour le format en ligne en anglais : niveau d'anglais suffisant._x000D_
- Pour le format en ligne en français : niveau de français suffisant._x000D_
+ idéalement une première expérience professionnelle (même stage)._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux travailleurs, salariés et indépendants actifs dans le secteur du business voulant se former dans l'analyse des données et la visualisation des analyses_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0007,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,formation courte en web analytics tracking fad,35 Heures,NON,NON,travailleur,"- Pour notre format en anglais : niveau d'anglais suffisant._x000D_
- Pour notre format en français : niveau de français suffisant._x000D_
- Avoir déjà eu une expérience professionnelle (même un stage)_x000D_
- Beaucoup de motivation et de curiosité !_x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux professionnels qui souhaitent améliorer les performances de sites internets_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0008,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,formation courte en python machine learning fad,35 Heures,NON,NON,travailleur,"- Pour notre format en anglais : niveau d'anglais suffisant._x000D_
- Pour notre format en français : niveau de français suffisant._x000D_
- Avoir déjà eu une expérience dans la Data ou en rapport avec la Data_x000D_
- Etre à l'aise avec les tableurs (Excel ou Gsheets)_x000D_
- Beaucoup de motivation et de curiosité !_x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux professionnels qui aspirent à plus de compétences tech et data pour manipuler et explorer des données efficacement, pour utiliser Python et prédire des résultats_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0009,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,formation courte en growth data automation fad,40 Heures,NON,NON,travailleur,"- Pour notre format en anglais : niveau d'anglais suffisant._x000D_
- Pour notre format en français : niveau de français suffisant._x000D_
- Avoir déjà eu une expérience professionnelle (même un stage)_x000D_
- Beaucoup de motivation et de curiosité !_x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux professionnels désireux d'apprendre comment automatiser le transfert de données entre des outils, pour créer des dashboards complexes ou automatiser des tâches avec des outils_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0010,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,formation courte en data analytics essentials fad,40 Heures,NON,NON,travailleur,"- Pour notre format en anglais : niveau d'anglais suffisant._x000D_
- Pour notre format en français : niveau de français suffisant._x000D_
- Avoir déjà eu une expérience professionnelle (même un stage)_x000D_
- Comprendre les logiques de base d'un tableur (Excel ou Gsheets)_x000D_
- Beaucoup de motivation et de curiosité !_x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux professionnels désireux d'avoir une introduction approndie à l'analyse de données, telle qu'elle est vraiment pratiquée en entreprise_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0011,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,formation courte en web design webflow fad,40 Heures,NON,NON,travailleur,"- Pour notre format en français : niveau de français suffisant._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux professionnels désireux de créer leur propre site internet de A à Z sans avoir à coder._x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
1264-0001-0012,Cheque-formation,,LE WAGON BRUSSELS,,756995126,Bruxelles,formation courte en product development airtable fad,40 Heures,NON,NON,travailleur,"- Pour notre format en anglais : niveau de anglais suffisant_x000D_
- Pour notre format en français : niveau de français suffisant_x000D_
+ première expérience professionnelle (même stage)._x000D_
_x000D_
Formation exclusivement réservée : _x000D_
_x000D_
- Aux professionnels désireux de tester rapidement de nouvelles idées sans avoir à coder_x000D_
_x000D_
Sont exclus : _x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0048-0001-0243,Cheque-formation,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Charleroi,mises en page efficaces avec indesign,14 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une bonne connaissance du logiciel de mise en page Adobe InDesign.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Toute personne désirant être capable de structurer l’information dans une mise en page</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0048-0001-0244,Cheque-formation,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Charleroi,creer des pdf interactifs a partir d indesign,7 Heures,NON,NON,travailleur,"<ul>
<li>Savoir utiliser InDesign et Acrobat pour réaliser des documents interactifs contenant boutons, sons, vidéo, animations ou champs de formulaires.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux graphistes ou employés désireux de créer des PDFs interactifs à partir d’Adobe InDesign et / ou d’Adobe Acrobat</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0048-0001-0248,Cheque-formation,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Charleroi,indesign niveau 1,35 Heures,NON,NON,travailleur,"<ul>
<li>Avoir une bonne connaissance de l’interface Mac ou PC.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Toute personne chargée de réaliser des mises en page destinées à une impression professionnelle</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0048-0001-0249,Cheque-formation,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Charleroi,indesign niveau 2,35 Heures,NON,NON,travailleur,"<ul>
<li>Avoir suivi le module 1 d’InDesign ou avoir une bonne connaissance du contenu de ce module comportant : notions de base (interface et outils), gestion des blocs textes et des images, application de couleurs, gestion des attributs de caractère et de paragraphe, gestion des habillages et détourages, création de tableaux.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Toute personne chargée de réaliser des mises en page d’imprimés professionnels</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
